card_name,card_number,card_name_cleaned
Arceus (AR6),AR6,Arceus (AR6)
Pal Pad,182/198,Pal Pad
Pikachu V - SWSH285,SWSH285,Pikachu V
Bruxish - SM11 (Prerelease),SM11,Bruxish (Prerelease)
Torchic,65/100,Torchic
Dodrio,26/106,Dodrio
Lightning Energy,108/110,Lightning Energy
Absol,GG16/GG70,Absol
Excadrill EX,82/113,Excadrill EX
Crabominable - SM47 (Prerelease),SM47,Crabominable (Prerelease)
Switch - 2015 (Alejandro Ng-Guzman),91/104,Switch - 2015 (Alejandro Ng-Guzman)
Sentret,016/017,Sentret
Code Card - Paradox Rift Pokemon Center Elite Trainer Box (Exclusive) [Roaring Moon],,Code Card - Paradox Rift Pokemon Center Elite Trainer Box (Exclusive) [Roaring Moon]
Gardevoir V - SWSH105,SWSH105,Gardevoir V
Emboar (19),19/114,Emboar
Drayton,232/191,Drayton
Arceus (AR1),AR1,Arceus (AR1)
Milotic C,035/147,Milotic C
Gardenia's Vigor (Secret),202/189,Gardenia's Vigor (Secret)
Falinks V,SV115/SV122,Falinks V
Capture Energy (Secret),201/189,Capture Energy (Secret)
Beedrill (13) - 2009 (Stephen Silvestro),13/106,Beedrill (13) - 2009 (Stephen Silvestro)
Meowth VMAX - SWSH005,SWSH005,Meowth VMAX
Boss's Orders,154/192,Boss's Orders
Dragonair,181/165,Dragonair
Zacian,139/192,Zacian
Eevee,38/75,Eevee
Tangrowth,10/106,Tangrowth
Budew,43/130,Budew
Poipole,SV19/SV94,Poipole
Eevee,101a/149,Eevee
Karrablast,094/086,Karrablast
Machamp - XY13 (Prerelease),XY13,Machamp (Prerelease)
Zekrom EX,52/113,Zekrom EX
Unown [G] - 2009 (Tsubasa Nakamura),57/106,Unown [G] - 2009 (Tsubasa Nakamura)
Marnie - 2022 (Sebastian Lashmet),,Marnie - 2022 (Sebastian Lashmet)
Sabrina's Alakazam,016/132,Sabrina's Alakazam
Wooper,082/111,Wooper
Dark Exeggcutor,033/105,Dark Exeggcutor
Kyurem EX,44/113,Kyurem EX
Minun,40/108,Minun
Pokemon Collector (#27),27/30,Pokemon Collector (#27)
Chien-Pao ex,274/193,Chien-Pao ex
Tate & Liza,148a/168,Tate & Liza
Meganium (53),053/165,Meganium
Ho-Oh ex,104/115,Ho-Oh ex
Gastly,52/92,Gastly
M Charizard EX (X),69/106,M Charizard EX (X)
Flying Pikachu VMAX - 2022 (Ondrej Skubal),007/025,Flying Pikachu VMAX - 2022 (Ondrej Skubal)
Team Rocket's Mewtwo ex,240/182,Team Rocket's Mewtwo ex
Hydreigon EX (103 Full Art),103/108,Hydreigon EX (Full Art)
Jirachi - XY67a,XY67a,Jirachi
Groudon Star,111/113,Groudon Star
Dragonite GX - SM156,SM156,Dragonite GX
Regieleki VMAX (Secret),198/195,Regieleki VMAX (Secret)
Squirtle,83/112,Squirtle
Rayquaza V (Alternate Full Art),194/203,Rayquaza V (Alternate Full Art)
Golem,148/144,Golem
Blissey,006/147,Blissey
Morpeko - SWSH012 (General Mills Promo),SWSH012,Morpeko (General Mills Promo)
Water Energy,111/111,Water Energy
Wooper,88/123,Wooper
Trapinch,78/97,Trapinch
Shauna - 2014 (Michikazu Tsuda),127/146,Shauna - 2014 (Michikazu Tsuda)
Crushing Hammer,105/084,Crushing Hammer
Deoxys Speed Forme,26/146,Deoxys Speed Forme
Code Card - Lost Origin Pokemon Center Elite Trainer Box (Exclusive),,Code Card - Lost Origin Pokemon Center Elite Trainer Box (Exclusive)
Team Magma's Houndour,35/95,Team Magma's Houndour
Noctowl - 2025 (Yuya Okita),,Noctowl - 2025 (Yuya Okita)
Smeargle,32/53,Smeargle
Zebstrika,082/214,Zebstrika
Scolipede,134/086,Scolipede
Unown [Q] - 2010 (Yuka Furusawa),49/100,Unown [Q] - 2010 (Yuka Furusawa)
Dual Ball,139/165,Dual Ball
Team Magma's Mightyena,19/34,Team Magma's Mightyena
Rowlet,009/149,Rowlet
Wimpod,SV4/SV94,Wimpod
Torchic Star,108/109,Torchic Star
Smoochum,31/115,Smoochum
Snivy,087/086,Snivy
Wooper,25/70,Wooper
Magcargo GX - 2019 (Henry Brand),44/214,Magcargo GX - 2019 (Henry Brand)
Pikachu (Delta Species) - 035 (Value Pack),035,Pikachu (Delta Species) (Value Pack)
Squirtle - 2006 (Hiroki Yano),83/112,Squirtle - 2006 (Hiroki Yano)
Black Kyurem - BW58,BW58,Black Kyurem
Ultra Ball - 2018 (Magnus Pedersen),68/73,Ultra Ball - 2018 (Magnus Pedersen)
Naganadel GX - 2019 (Shintaro Ito),160/236,Naganadel GX - 2019 (Shintaro Ito)
Sylveon (Poke Ball Pattern),040/131,Sylveon (Poke Ball Pattern)
Dragapult ex,165/131,Dragapult ex
Donphan,021/111,Donphan
Gyarados Star (Delta Species),102/110,Gyarados Star (Delta Species)
Xatu,55/100,Xatu
Victini,171/086,Victini
Clefairy,83/132,Clefairy
Happiny,052/123,Happiny
Giratina EX - 2016 (Shunto Sadahiro),57/98,Giratina EX - 2016 (Shunto Sadahiro)
Munkidori ex,037/064,Munkidori ex
Corviknight V,109/163,Corviknight V
Quaquaval ex,273/193,Quaquaval ex
Cinnabar City Gym,113/132,Cinnabar City Gym
Ampharos V (Full Art),171/185,Ampharos V (Full Art)
Hitmonchan,081/147,Hitmonchan
Snorlax - SWSH119,SWSH119,Snorlax
Holon Mentor,75/101,Holon Mentor
Silicobra,SV070/SV122,Silicobra
Donphan - SWSH067 (Prerelease),SWSH067,Donphan (Prerelease)
Psyduck,16/122,Psyduck
Lt. Surge's Rattata,015/034,Lt. Surge's Rattata
Gyarados,019/100,Gyarados
Tentacool,113/147,Tentacool
Wigglytuff,079/099,Wigglytuff
Shroomish,RC2/RC32,Shroomish
Vespiquen,39/130,Vespiquen
Jynx (Delta Species),17/101,Jynx (Delta Species)
Colress - 2015 (Patrick Martinez),118/135,Colress - 2015 (Patrick Martinez)
Copycat - 2011 (Gustavo Wada),77/95,Copycat - 2011 (Gustavo Wada)
Articuno - 2015 (Jacob Van Wagner),17/108,Articuno - 2015 (Jacob Van Wagner)
Rowlet - SM01,SM01,Rowlet
Heatran LV.X - DP31,DP31,Heatran LV.X
Hyper Devolution Spray,73/75,Hyper Devolution Spray
Exeggutor,039/130,Exeggutor
Metagross VMAX,113/198,Metagross VMAX
Gardevoir ex,217/091,Gardevoir ex
Rainbow Energy,121/127,Rainbow Energy
Banette ex,088/198,Banette ex
Kyogre,053/236,Kyogre
Thunder Mountain Prism Star,191/214,Thunder Mountain Prism Star
Iono - 185/193 - 2024 (Fernando Cifuentes),185/193,Iono - 2024 (Fernando Cifuentes)
Boltund V,TG13/TG30,Boltund V
Golduck BREAK,18/122,Golduck BREAK
Alakazam - 009 (Pokemon Center Exclusive),009,Alakazam (Pokemon Center Exclusive)
Drampa GX (Secret),160/145,Drampa GX (Secret)
Cleffa - 2011 (David Cohen),17/123,Cleffa - 2011 (David Cohen)
Mega Audino ex,172/217,Mega Audino ex
Shieldon (Japanese 11th Movie Commemoration Set),007/009,Shieldon (Japanese 11th Movie Commemoration Set)
Incineroar GX,27/149,Incineroar GX
Roggenrola,049/098,Roggenrola
Typhlosion (65),065/165,Typhlosion
Pidgeot ex,225/197,Pidgeot ex
Ivysaur,030/102,Ivysaur
Metagross,7,Metagross
Mawile EX,XY103,Mawile EX
Growlithe,042/130,Growlithe
Weedle (114),114/144,Weedle
Alolan Vulpix - 2017 (Diego Cassiraga),21/145,Alolan Vulpix - 2017 (Diego Cassiraga)
Jolteon VMAX - SWSH184,SWSH184,Jolteon VMAX
Slowpoke,55/62,Slowpoke
Lucario & Melmetal GX,120/214,Lucario & Melmetal GX
Blissey,82/108,Blissey
Swampert,35/168,Swampert
Ampharos,23/95,Ampharos
Cyllene (Secret),201/189,Cyllene (Secret)
Frosmoth (Secret),204/192,Frosmoth (Secret)
Geodude,043/083,Geodude
Buzzwole GX,SV68/SV94,Buzzwole GX
Froslass ex,217/182,Froslass ex
Copperajah V,136/192,Copperajah V
Lure Module (Secret),088/078,Lure Module (Secret)
Pikachu,RC7/RC25,Pikachu
Swampert,12,Swampert
Lysandre's Trump Card (118 Full Art),118/119,Lysandre's Trump Card (Full Art)
Exeggutor,5/116,Exeggutor
Terrakion - BW71,BW71,Terrakion
Zeraora,078/182,Zeraora
Code Card - Next Destinies Booster Pack,,Code Card - Next Destinies Booster Pack
Yveltal (EB Games),088/132,Yveltal (EB Games)
Salamence GX - SM139,SM139,Salamence GX
Cubone,072/147,Cubone
Aron,56/100,Aron
Kingdra (Delta Species),10/110,Kingdra (Delta Species)
Shaymin - 2012 (Zachary Bokhari),8/95,Shaymin - 2012 (Zachary Bokhari)
Slowbro,52/123,Slowbro
Rhydon,035/110,Rhydon
Cramorant,050/196,Cramorant
Vaporeon,42/236,Vaporeon
Team Aqua's Mightyena,30/95,Team Aqua's Mightyena
Double Rainbow Energy,88/95,Double Rainbow Energy
Yamask (Master Ball Pattern),039/086,Yamask (Master Ball Pattern)
Rowlet,090/088,Rowlet
Simisage (Master Ball Pattern),005/086,Simisage (Master Ball Pattern)
Duraludon VMAX,123/203,Duraludon VMAX
Arctibax - 064,064,Arctibax
Mawile,246/217,Mawile
Startling Megaphone - 2014 (Trent Orndorff),97/106,Startling Megaphone - 2014 (Trent Orndorff)
Fighting Energy,108/108,Fighting Energy
Fennekin,XY02,Fennekin
Venomoth (29),29/64,Venomoth
Leon (Secret),195/185,Leon (Secret)
Basic Darkness Energy - MEE 007 (Cosmos Holo),007,Basic Darkness Energy - MEE 007 (Cosmos Holo)
Skarmory,26/107,Skarmory
Stonjourner,111/192,Stonjourner
Drilbur,124/086,Drilbur
Ancient Tomb - 2004 (Kevin Nguyen),87/101,Ancient Tomb - 2004 (Kevin Nguyen)
Leafeon GX - SM146,SM146,Leafeon GX
Ancient Technical Machine [Rock] - 2006 (Jimmy Ballard),85/101,Ancient Technical Machine [Rock] - 2006 (Jimmy Ballard)
Toxtricity - 017 [Staff],017,Toxtricity [Staff]
Eternatus VMAX,TG22/TG30,Eternatus VMAX
Raichu 026/165 (Cosmos Holo),026/165,Raichu 026/165 (Cosmos Holo)
Double Rainbow Energy - 2005 (Jeremy Maron),87/106,Double Rainbow Energy - 2005 (Jeremy Maron)
Celebi & Venusaur GX (Secret),182/181,Celebi & Venusaur GX (Secret)
Drakloak,129/167,Drakloak
Chien-Pao - 152 (Staff),152,Chien-Pao (Staff)
Walrein ex,99/108,Walrein ex
Lunatone,32,Lunatone
Flaaffy,TG03/TG30,Flaaffy
Geodude,44/64,Geodude
Jirachi ex,94/100,Jirachi ex
Misty (18),018/132,Misty
Pikachu V,043/185,Pikachu V
Slowking,034/147,Slowking
Chinchou (70),070/147,Chinchou
Victory Medal - 2010-2011 (Battle Road Spring),,Victory Medal - 2010-2011 (Battle Road Spring)
Umbreon,060/108,Umbreon
Code Card - Blastoise GX Premium Collection,,Code Card - Blastoise GX Premium Collection
Silvally GX,116/156,Silvally GX
Seer,133/147,Seer
Eevee,69/113,Eevee
Wurmple,103/127,Wurmple
Mewtwo EX (164 Secret Full Art),164/162,Mewtwo EX (Secret Full Art)
Gravity Mountain,250/191,Gravity Mountain
Alolan Meowth - SM51,SM51,Alolan Meowth
Champions Festival - SM231 (World Championships 2019),SM231,Champions Festival (World Championships 2019)
Teal Mask Ogerpon ex,025/167,Teal Mask Ogerpon ex
Tapu Bulu GX - SM32,SM32,Tapu Bulu GX
Wo-Chien ex,257/193,Wo-Chien ex
Kabutops,027/110,Kabutops
Decidueye,SV003/SV122,Decidueye
Palkia & Dialga Legend (Bottom),102/102,Palkia & Dialga Legend (Bottom)
Magnezone - DP32,DP32,Magnezone
Mimikyu GX (Full Art),206/214,Mimikyu GX (Full Art)
Chimchar,012/017,Chimchar
Sudowoodo,15/115,Sudowoodo
Ampharos,001/147,Ampharos
Cosmog,99/236,Cosmog
Pikachu - 027 (Pokemon Center Exclusive),027,Pikachu (Pokemon Center Exclusive)
Primeape,51/111,Primeape
Energy Root - 2006 (Miska Saari),83/115,Energy Root - 2006 (Miska Saari)
Wobbuffet,41/130,Wobbuffet
Hydreigon,74/119,Hydreigon
Charmander,009/108,Charmander
Cynthia's Feelings,131/146,Cynthia's Feelings
Bulbasaur - 046 (Cosmos Holo),046,Bulbasaur (Cosmos Holo)
Doublade,098/088,Doublade
Water Energy,090/095,Water Energy
Scyther,29/112,Scyther
Code Card - XY Evolutions Elite Trainer Box [Mega Charizard Y],,Code Card - XY Evolutions Elite Trainer Box [Mega Charizard Y]
Fezandipiti (Master Ball Pattern),045/131,Fezandipiti (Master Ball Pattern)
Floette,102/162,Floette
Bird Keeper (Full Art),066/072,Bird Keeper (Full Art)
Dark Machamp (27),27/82,Dark Machamp
Galarian Perrserker (Secret),205/192,Galarian Perrserker (Secret)
Forretress,28/146,Forretress
Grass Energy (2011 Play! Pokemon),,Grass Energy (2011 Play! Pokemon)
Yveltal GX (Full Art),124/131,Yveltal GX (Full Art)
Manectric,38/107,Manectric
Vaporeon ex,110/113,Vaporeon ex
Klinklang,76/98,Klinklang
Drifblim FB,3,Drifblim FB
Galarian Obstagoon,SV080/SV122,Galarian Obstagoon
Greninja ex,041/142,Greninja ex
Spoink,74/97,Spoink
Latias (#30 Holo),30/30,Latias (#30 Holo)
Slurpuff - XY15,XY15,Slurpuff
Passimian - SM12 (Prerelease),SM12,Passimian (Prerelease)
Nidoking,011/102,Nidoking
Korrina - 2015 (Rowan Stavenow),95/111,Korrina - 2015 (Rowan Stavenow)
Jolteon - 169 (Cosmos Holo),169,Jolteon (Cosmos Holo)
VS Seeker (CLC),031/034,VS Seeker (CLC)
Dragonite VSTAR (Secret),081/078,Dragonite VSTAR (Secret)
Garchomp,005/147,Garchomp
Blaziken V (Full Art),161/198,Blaziken V (Full Art)
Farfetch'd,23/112,Farfetch'd
Reshiram GX,11/70,Reshiram GX
Iron Bundle - 058 (Prerelease),058,Iron Bundle (Prerelease)
Raichu & Alolan Raichu GX - 2019 (Haruki Miyamoto),54/236,Raichu & Alolan Raichu GX - 2019 (Haruki Miyamoto)
Cinccino,105/113,Cinccino
Acerola - 2017 (Diego Cassiraga),112/147,Acerola - 2017 (Diego Cassiraga)
Torchic,RC5/RC25,Torchic
Stakataka GX,SV74/SV94,Stakataka GX
Cyrus's Conspiracy,105/127,Cyrus's Conspiracy
Lurantis ex,096/084,Lurantis ex
Suicune - HGSS21,HGSS21,Suicune
Flygon,76/111,Flygon
Super Energy Removal,079/102,Super Energy Removal
Floette,RC18/RC32,Floette
Scizor ex,108/115,Scizor ex
Acerola - 2017 (Naoto Suzuki),112/147,Acerola - 2017 (Naoto Suzuki)
Greninja V,073/264,Greninja V
Leafeon (7),7/100,Leafeon
Torchic - 017 (EX Deck Tin),017,Torchic (EX Deck Tin)
Ting-Lu ex,244/091,Ting-Lu ex
Sneasel,110/147,Sneasel
Battle Cage,116/094,Battle Cage
Hoopa GX (Secret),187/181,Hoopa GX (Secret)
Ethan's Ho-Oh ex,209/182,Ethan's Ho-Oh ex
Pikachu [W Stamped],60/64,Pikachu [W Stamped]
Skeledirge ex,272/193,Skeledirge ex
Gyarados,8/107,Gyarados
Dark Blastoise,S2/S4,Dark Blastoise
Growlithe (80),080/147,Growlithe
Pawmi,142/091,Pawmi
Togepi,009/012,Togepi
Wo-Chien ex,232/193,Wo-Chien ex
Sceptile,010/168,Sceptile
Celio's Network - 2005 (Takashi Yoneda),88/112,Celio's Network - 2005 (Takashi Yoneda)
Flareon - BW88,BW88,Flareon
Miraidon - 013,013,Miraidon
Counter Catcher,091/111,Counter Catcher
Joltik (42),42/108,Joltik
Hitmonchan - HGSS24,HGSS24,Hitmonchan
Mega Zygarde ex,104/088,Mega Zygarde ex
Vileplume,3/149,Vileplume
Raichu,13/95,Raichu
Hisuian Arcanine V,090/195,Hisuian Arcanine V
Code Card - Energy Cards Prerelease Box (Sun & Moon Energies),,Code Card - Energy Cards Prerelease Box (Sun & Moon Energies)
Giratina EX,57/98,Giratina EX
Umbreon (Master Ball Pattern),059/131,Umbreon (Master Ball Pattern)
Rocket's Hitmonchan - 9 [Winner],009/009,Rocket's Hitmonchan [Winner]
Rocket's Admin.,86/109,Rocket's Admin.
Salamence ex,187/159,Salamence ex
M Charizard EX,12/83,M Charizard EX
Code Card - Red & Blue Collection [Blastoise EX],,Code Card - Red & Blue Collection [Blastoise EX]
Professor Oak's Setup (Full Art),233/236,Professor Oak's Setup (Full Art)
Poochyena,65/109,Poochyena
Traveling Salesman,137/147,Traveling Salesman
Mega Clefable ex,103/088,Mega Clefable ex
Rapidash,8/102,Rapidash
Blue's Tactics (Full Art),231/236,Blue's Tactics (Full Art)
Float Stone - 2018 (Pedro Eugenio Torres),137/162,Float Stone - 2018 (Pedro Eugenio Torres)
Vullaby,144/086,Vullaby
Bloodmoon Ursaluna (Master Ball Pattern),054/131,Bloodmoon Ursaluna (Master Ball Pattern)
Lilligant (Master Ball Pattern),007/086,Lilligant (Master Ball Pattern)
Raichu,12/108,Raichu
Hawlucha,175/091,Hawlucha
Flygon,015/097,Flygon
Team Magma's Claydol - 2004 (Tsuguyoshi Yamato),8/95,Team Magma's Claydol - 2004 (Tsuguyoshi Yamato)
Gallade,82/236,Gallade
Haunter,080/165,Haunter
Roserade,17/132,Roserade
Opal (Secret),197/185,Opal (Secret)
Radiant Greninja - 2024 (Sakuya O.),046/189,Radiant Greninja - 2024 (Sakuya O.)
Inteleon VMAX,079/264,Inteleon VMAX
Crispin,133/142,Crispin
Bulbasaur,044/102,Bulbasaur
Golduck - 008,008,Golduck
Cyclone Energy,90/108,Cyclone Energy
Darkrai (3),3/106,Darkrai
Cleffa,20/111,Cleffa
Entei - SM219 (Prerelease),SM219,Entei (Prerelease)
Pokemon Fan Club (Full Art),155/156,Pokemon Fan Club (Full Art)
Ho-Oh BREAK,XY154,Ho-Oh BREAK
Terapagos ex,180/131,Terapagos ex
Gengar,60/162,Gengar
Metal Energy (2011 Pokemon League),,Metal Energy (2011 Pokemon League)
Wartortle,15/18,Wartortle
Lucario V - SWSH213,SWSH213,Lucario V
Mr. Mime,37,Mr. Mime
Darumaka (Master Ball Pattern),013/086,Darumaka (Master Ball Pattern)
Xerosic's Machinations,089/064,Xerosic's Machinations
Mankey,38/112,Mankey
Dragapult ex - 130/167 - 2024 (Evan Pavelski),130/167,Dragapult ex - 2024 (Evan Pavelski)
Skarmory,097/144,Skarmory
Fighting Fury Belt - 2018 (Naohito Inoue),99/122,Fighting Fury Belt - 2018 (Naohito Inoue)
N's Zoroark ex,098/159,N's Zoroark ex
Ultra Necrozma GX - SM126,SM126,Ultra Necrozma GX
Rhyperior,10,Rhyperior
Lucario LV.X - DP12,DP12,Lucario LV.X
Gulpin,62/101,Gulpin
Kyogre,46/168,Kyogre
Swadloon (Master Ball Pattern),002/086,Swadloon (Master Ball Pattern)
Zacian,045/094,Zacian
Fire Energy (Prize Pack Series 3) (Cosmos Holo),,Fire Energy (Prize Pack Series 3) (Cosmos Holo)
Braviary,88/98,Braviary
Light Machoke,049/105,Light Machoke
Medicham V,083/203,Medicham V
Kyogre,032/146,Kyogre
Koraidon - 014 (Pokemon Center Exclusive),014,Koraidon (Pokemon Center Exclusive)
Axew - BW16,BW16,Axew
Wooper (117),117/147,Wooper
Moltres,038/214,Moltres
Big Charm (Secret),206/192,Big Charm (Secret)
Darkrai,105/189,Darkrai
Gyarados,31/113,Gyarados
Voltorb,113/144,Voltorb
Wash Rotom - SM94 (Prerelease),SM94,Wash Rotom (Prerelease)
Scizor (H21),H21/H32,Scizor (H21)
Scott - 2005 (Curran Hill),84/106,Scott - 2005 (Curran Hill)
Eevee (Poke Ball Pattern),074/131,Eevee (Poke Ball Pattern)
Darkrai EX,88/113,Darkrai EX
Misty's Shellder,089/132,Misty's Shellder
Snorlax (81),81/111,Snorlax
Shining Mew,40/73,Shining Mew
Typhlosion (Delta Species),12/101,Typhlosion (Delta Species)
Trubbish,53/124,Trubbish
Starmie V,TG13/TG30,Starmie V
Fezandipiti ex,038/064,Fezandipiti ex
Bronzong G - 2009 (Tsubasa Nakamura),41/127,Bronzong G - 2009 (Tsubasa Nakamura)
Bellossom,005/147,Bellossom
Unown [G] - 2009 (Stephen Silvestro),57/106,Unown [G] - 2009 (Stephen Silvestro)
Mega Feraligatr ex,043/217,Mega Feraligatr ex
Boss's Orders [Lysandre],058/072,Boss's Orders [Lysandre]
Magneton,009/102,Magneton
Golisopod GX - SM62,SM62,Golisopod GX
Lycanroc GX (Secret),156/145,Lycanroc GX (Secret)
Haunter  - 027,027,Haunter
Magikarp & Wailord GX - SM166,SM166,Magikarp & Wailord GX
Mewtwo (Movie Promo),03/53,Mewtwo (Movie Promo)
Zapdos ex,145/165,Zapdos ex
Darkness Energy (Secret),168/147,Darkness Energy (Secret)
Gardevoir,RC10/RC25,Gardevoir
Unit Energy GRW (Secret Rare),170/156,Unit Energy GRW (Secret Rare)
Dark Porygon2,008/105,Dark Porygon2
Magmar,44/53,Magmar
Croconaw,38/123,Croconaw
Ludicolo,034/203,Ludicolo
Gengar,011/110,Gengar
N's Zekrom - 031,031,N's Zekrom
M Mewtwo EX (64),64/162,M Mewtwo EX
Skarmory (27),027/165,Skarmory
Teal Mask Ogerpon - 123 (Pokemon Center Exclusive),123,Teal Mask Ogerpon (Pokemon Center Exclusive)
Warp Energy - 2004 (Chris Fulop),147/147,Warp Energy - 2004 (Chris Fulop)
Vaporeon,19/115,Vaporeon
Junk Arm - 2011 (David Cohen),87/102,Junk Arm - 2011 (David Cohen)
Espeon - BW92,BW92,Espeon
Lapras ex,158/142,Lapras ex
Cobalion (Master Ball Pattern),066/086,Cobalion (Master Ball Pattern)
Rain Castform,26/113,Rain Castform
Wyrdeer - SWSH206,SWSH206,Wyrdeer
Roserade,13/130,Roserade
Grass Energy (2004-2005),104/109,Grass Energy (2004-2005)
Goldeen (Master Ball Pattern),020/131,Goldeen (Master Ball Pattern)
Pawmot - 006 (Prerelease) [Staff],006,Pawmot (Prerelease) [Staff]
Mew ex - 2007 (Tom Roos),88/92,Mew ex - 2007 (Tom Roos)
Dark Electrode,4/109,Dark Electrode
Mewtwo EX (Full Art),103/108,Mewtwo EX (Full Art)
Flygon,101/094,Flygon
Iris (101 Full Art),101/101,Iris (Full Art)
Eevee V - SWSH065,SWSH065,Eevee V
Raichu,41/147,Raichu
Nidoking,6/102,Nidoking
Parasect,38,Parasect
Lucario V,078/189,Lucario V
Sigilyph,66/113,Sigilyph
Rockruff - 2018 (Naohito Inoue),75/131,Rockruff - 2018 (Naohito Inoue)
Grass Energy (2007-2008 League Promo),,Grass Energy (2007-2008 League Promo)
Unown [Z],72/132,Unown [Z]
Fairy Energy (#9),9/30,Fairy Energy (#9)
Flareon (8),008/144,Flareon
Giratina (10),10/127,Giratina
Desert Shaman - 2004 (Kevin Nguyen),123/144,Desert Shaman - 2004 (Kevin Nguyen)
Tornadus VMAX,125/198,Tornadus VMAX
Ampharos (34),034/165,Ampharos
Hustle Belt (Secret),179/168,Hustle Belt (Secret)
Dudunsparce,229/193,Dudunsparce
Illumise,32/106,Illumise
Rayquaza V,100/159,Rayquaza V
Alakazam Star,99/100,Alakazam Star
Kabutops (H13),H13/H32,Kabutops (H13)
Enhanced Hammer,224/167,Enhanced Hammer
Pokemon Center,114/130,Pokemon Center
Shaymin - 2012 (Igor Costa),8/95,Shaymin - 2012 (Igor Costa)
Rayquaza EX - XY66,XY66,Rayquaza EX
Lotad (Shiny),SH4,Lotad (Shiny)
Tentacool,56/62,Tentacool
Lucario - SM54,SM54,Lucario
Garbodor V (Full Art),190/203,Garbodor V (Full Art)
Weezing,24/109,Weezing
Azumarill,103/160,Azumarill
Cacturne,2/100,Cacturne
Greninja BREAK,41/122,Greninja BREAK
Super Scoop Up,151/165,Super Scoop Up
Magikarp,65/109,Magikarp
Pokegear 3.0,182b/214,Pokegear 3.0
Espeon,18/100,Espeon
Gardevoir (Delta Species),6/113,Gardevoir (Delta Species)
Wondrous Patch,117/088,Wondrous Patch
Gardevoir,141/214,Gardevoir
Cinccino - SWSH009 (Prerelease) [Staff],SWSH009,Cinccino (Prerelease) [Staff]
Gyarados,7/95,Gyarados
Wyrdeer,TG06/TG30,Wyrdeer
Counter Gain (Secret),230/214,Counter Gain (Secret)
Spiritomb,32/99,Spiritomb
Makuhita,55/90,Makuhita
Weezing (70),070/165,Weezing
Snorlax - 051 (Pokemon Center Exclusive),051,Snorlax (Pokemon Center Exclusive)
Quaquaval ex,235/193,Quaquaval ex
Double Rainbow Energy - 2005 (Michael Gonzalez),87/106,Double Rainbow Energy - 2005 (Michael Gonzalez)
Seviper,23/108,Seviper
Gligar,067/105,Gligar
Empoleon LV.X - DP11,DP11,Empoleon LV.X
Rapidash,005/034,Rapidash
Marshadow GX,080/147,Marshadow GX
Bulbasaur - SM198 (Detective Pikachu Stamped),SM198,Bulbasaur (Detective Pikachu Stamped)
Holon Mentor - 2007 (Jun Hasebe),75/101,Holon Mentor - 2007 (Jun Hasebe)
Kakuna,41/75,Kakuna
Karrablast,008/101,Karrablast
Lt. Surge's Magnemite (50),050/132,Lt. Surge's Magnemite
Florges EX,67/119,Florges EX
Starmie V,030/189,Starmie V
Electrocharger (Secret),193/181,Electrocharger (Secret)
Venusaur,018/130,Venusaur
Kabuto,51/108,Kabuto
Fearow,XY57,Fearow
Anthea & Concordia,254/217,Anthea & Concordia
Hydrapple ex,167/142,Hydrapple ex
Giratina V,130/196,Giratina V
TV Reporter - 2006 (Jason Klaczynski),11/17,TV Reporter - 2006 (Jason Klaczynski)
Beheeyem,56/101,Beheeyem
Lurantis GX (Full Art),138/149,Lurantis GX (Full Art)
Wugtrio ex,190/162,Wugtrio ex
Code Card - Trainer's Tool Kit (2022),,Code Card - Trainer's Tool Kit (2022)
Fighting Cube 01,121/147,Fighting Cube 01
Rayquaza EX,85/124,Rayquaza EX
Copperajah V - SWSH030,SWSH030,Copperajah V
Armaldo,3/108,Armaldo
Dratini,91/146,Dratini
Quaquaval ex - 084,084,Quaquaval ex
Charmeleon,28/108,Charmeleon
